Alexanderstraße 18,,Verwaltungsgebäude(Industrie- und Handelskammer),910,Elberfeld-Mitte,"eine bauliche Einheit mit Heinrich-Kamp-Platz 2, siehe Industrie- und Handelskammer Wuppertal-Solingen-Remscheid",76888883500♠12. Nov. 1986
Alte Freiheit 24 a,,"Schwebebahn-Station(Schwebebahn-Station Hauptbahnhof, ehemals Schwebebahn-Station Döppersberg)",1868,Elberfeld-Mitte,"eine D-Nummer mit Alte Freiheit 26, dem KöBo Haus",77055863375♠15. Feb. 1991
Alte Freiheit 26,,Geschäftshaus(Köbo-Haus),1868,Elberfeld-Mitte,eine D-Nummer mit Alte Freiheit 24a,77055863375♠15. Feb. 1991
Aue 8,,Wohn- und Geschäftshaus,3532,Elberfeld-Mitte,eine D-Nummer mit Laurentiusstraße 35,77193168275♠19. Sep. 1994
Aue 76,,Kontorhaus,2745,Elberfeld-Mitte,,77132795050♠10. Feb. 1993
Aue 84,,Wohn- und Geschäftshaus,2738,Elberfeld-Mitte,,77132143875♠03. Feb. 1993
Aue 86,,Wohn- und Geschäftshaus,1305,Elberfeld-Mitte,,76941070525♠29. Feb. 1988
Aue 90,,Wohnhaus,2713,Elberfeld-Mitte,,77131399675♠27. Jan. 1993
Aue 94,,Wohn- und Geschäftshaus,951,Elberfeld-Mitte,,76899209275♠27. Jan. 1987
Aue 106,,Wohn- und Geschäftshaus,319,Elberfeld-Mitte,eine D-Nummer mit Friedrich-Ebert-Straße 91,76824789275♠27. Feb. 1985
Auer Schulstraße 1,,Wohnhaus,3382,Elberfeld-Mitte,,77179121500♠28. Apr. 1994
Auer Schulstraße 4,,Wohn- und Geschäftshaus,320,Elberfeld-Mitte,,76824882300♠28. Feb. 1985
Auer Schulstraße 6,,Wohnhaus,3402,Elberfeld-Mitte,,77180702925♠13. Mai 1994
Auer Schulstraße 8,,Wohnhaus,3414,Elberfeld-Mitte,,77181819225♠25. Mai 1994
Auer Schulstraße 10,,Wohnhaus,321,Elberfeld-Mitte,,76824882300♠28. Feb. 1985
Auer Schulstraße 12,,Verwaltungsgebäude,2062,Elberfeld-Mitte,eine D-Nummer mit Osterfelder Straße 15,77095678075♠27. Feb. 1992
Bankstraße 3,,Geschäftshaus,3523,Elberfeld-Mitte,eine bauliche Einheit mit Herzogstraße 27,77191586850♠02. Sep. 1994
Bankstraße 23,,Bankgebäude(Landeszentralbank),2865,Elberfeld-Mitte,,77138004450♠02. Apr. 1993
Bembergstraße 17,,Fabrikgebäude,3321,Elberfeld-Mitte,eine D-Nummer mit Bundesallee 233 und Hofaue 25,77174191175♠07. Mär. 1994
Bembergstraße 20,,Fabrikgebäude,2356,Elberfeld-Mitte,,77111492325♠05. Aug. 1992
Bergstraße 11,,Fabrikgebäude,3059,Elberfeld-Mitte,,77151400050♠18. Aug. 1993
Briller Straße 2,,"Wohnhaus(Villa Frowein,  ehemals Bergische Musikschule)",1102,Elberfeld-Mitte,,76918000325♠05. Aug. 1987
Bundesallee 30,,Schulgebäude(Ehem.Gymnasium Aue),112,Elberfeld-Mitte,,76803393525♠21. Aug. 1984
Bundesallee 222,,"Schulgebäude(Kaufmännische Schulen West, Erweiterungsbau)",4138,Elberfeld-Mitte,,77415218950♠06. Juni 2000
Bundesallee 233,,Fabrikgebäude,3321,Elberfeld-Mitte,eine D-Nummer mit Bembergstraße 17 und Hofaue 25,77174191175♠07. Mär. 1994
Bundesallee 260,,Schauspielhaus,4139,Elberfeld-Mitte,,77415218950♠06. Juni 2000
Bundesallee 268,,Automobilsalon und Werkstatt(Sopp’scher Pavillon),2084,Elberfeld-Mitte,eine D-Nummer mit Bundesallee 274,77357171350♠22. Dez. 1998
Bundesallee 274,,Automobilsalon und Werkstatt(Sopp'scher Pavillon),2084,Elberfeld-Mitte,eine D-Nummer mit Bundesallee 268,77357171350♠22. Dez. 1998
Burgstraße 4,,Museum(Von der Heydt-Museum),197,Elberfeld-Mitte,eine bauliche Einheit mit Wall 11 und Schwanenstraße 35,76813719300♠04. Dez. 1984
Döppersberg 1,,"Bahnhofsgebäude(Ehemaliges Bahnhofsempfangsgebäude, Gleis 1)",1220,Elberfeld-Mitte,,76930186600♠08. Dez. 1987
Döppersberg 19,,"Schulgebäude(Bundesbahnsozialgebäude/ ehemalige Gewerbeschule, Dürer-Haus siehe)",1832,Elberfeld-Mitte,,77043118950♠06. Nov. 1990
Döppersberg 37,,"Bahnhofsempfangsgebäude(Hauptbahnhof, Bahnhof Döppersberg)",1361,Elberfeld-Mitte,,76948326475♠11. Mai 1988
Döppersberg 41,,Verwaltungsgebäude(Bundesbahndirektion),1362,Elberfeld-Mitte,,76948326475♠11. Mai 1988
Eiland 1,,Landgericht(Landgericht Wuppertal),1251,Elberfeld-Mitte,,76931116850♠18. Dez. 1987
Eiland 4,,Amtsgericht(Amtsgericht Wuppertal),1252,Elberfeld-Mitte,,76931116850♠18. Dez. 1987
Friedrich-Ebert-Straße 13,,Wohnhaus(Haus Daniel von der Heydt),836,Elberfeld-Mitte,,76878464700♠28. Juli 1986
Friedrich-Ebert-Straße 13 a,,Wohn- und Geschäftshaus,2947,Elberfeld-Mitte,,77142004525♠13. Mai 1993
Friedrich-Ebert-Straße 15,,Wohnhaus(Palais Meckel),154,Elberfeld-Mitte,eine D-Nummer mit Friedrich-Ebert-Straße 15a,76808416875♠11. Okt. 1984
Friedrich-Ebert-Straße 15 a,,Remise,154,Elberfeld-Mitte,eine D-Nummer mit Friedrich-Ebert-Straße 15,76808416875♠11. Okt. 1984
Friedrich-Ebert-Straße 16 a,,Pavillon(Pavillon (WC/Kiosk)),1315,Elberfeld-Mitte,,76942279850♠10. Mär. 1988
Friedrich-Ebert-Straße 18,,Pavillon(Pavillon (Cafe)),1954,Elberfeld-Mitte,,77084608100♠04. Dez. 1991
Friedrich-Ebert-Straße 20,,Kirche(Laurentiuskirche),151,Elberfeld-Mitte,,76807765700♠04. Okt. 1984
Friedrich-Ebert-Straße 22,,Pfarrhaus,152,Elberfeld-Mitte,,76808137800♠08. Okt. 1984
Friedrich-Ebert-Straße 67,,Wohn- und Geschäftshaus,1278,Elberfeld-Mitte,,76936791375♠15. Jan. 1988
Friedrich-Ebert-Straße 68,,Wohn- und Geschäftshaus,1459,Elberfeld-Mitte,,76960698800♠16. Sep. 1988
Friedrich-Ebert-Straße 68 a,,Wohn- und Geschäftshaus,3494,Elberfeld-Mitte,,77188796100♠04. Aug. 1994
Friedrich-Ebert-Straße 71,,Wohnhaus,930,Elberfeld-Mitte,,76891581225♠09. Dez. 1986
Friedrich-Ebert-Straße 71 a,,Wohnhaus,931,Elberfeld-Mitte,,76891674250♠10. Dez. 1986
Friedrich-Ebert-Straße 72,,Wohn- und Geschäftshaus,158,Elberfeld-Mitte,,76830649850♠26. Apr. 1985
Friedrich-Ebert-Straße 77,,Wohnhaus,148,Elberfeld-Mitte,,76806835450♠26. Sep. 1984
Friedrich-Ebert-Straße 79,,Wohn- und Geschäftshaus,921,Elberfeld-Mitte,,76890837025♠01. Dez. 1986
Friedrich-Ebert-Straße 81,,Wohnhaus,229,Elberfeld-Mitte,,76815207700♠20. Dez. 1984
Friedrich-Ebert-Straße 82,,Wohnhaus,1456,Elberfeld-Mitte,,76960698800♠16. Sep. 1988
Friedrich-Ebert-Straße 83,,Wohnhaus,3524,Elberfeld-Mitte,,77191586850♠02. Sep. 1994
